Name, image path, type, price, details, developer,
Camera, , Photo & Video, 0, Take stunning photos & Videos, Apple,
Clock, , Utilities, 0, Tell the time, Apple,
Messages, , Social Networking, 0, Send messages to anyone anywhere, Apple,
Instagram, , Photo & Video, 0, Connect with friends and share moments with others, Instagram Inc.,
TikTok, , Entertainment, 0, TikTok is THE destination for mobile videos, TikTok Ltd.,
Snapchat, , Photo & Video, 0, Send messages to anyone anywhere and share moments with your peers, Snap Inc.,
Bloons TD 6, , Action, 6.99, Craft your perfect defense from a combination of powerful Monkey Towers to pop every last invading Bloon!, Ninja Kiwi,
Minecraft, , Adventure, 6.99, Online multiplayer game with survival & creative online modes, Mojang,
Weather, , Weather, 0, Stay informed about conditions near you!, Apple,
Duo Mobile, , Business, 0, two-factor authentication service to make logins more secure, Duo Security LLC,
Grubhub, , Food & Drink, 0, Order food delivery from thousands of restaurants, GrubHub.com,
Calculator, , Utilities, 0, Type out math for quick solutions, Apple,
Notes, , Productivity, 0, Jot down quick thoughts or save longer notes, Apple,
Amazon Shopping, , Shopping, 0, Amazon Shopping helps make shopping on Amazon faster and easier, AMZN Mobile LLC,
Chick-fil-A, , Food & Drink, 0, Find a restaurant near you and order ahead, Chick-fil-A Inc.,
ESPN: Live Sports & Scores, , 0, Sports, All of ESPN. All in One Place, Disney,
LinkedIn: Network & Job Finder, , Business, 0, LinkedIn is one of the largest social networking apps for online job searches that also provides content that can help you grow, LinkedIn Corporation,
Canvas by Instructure, , Education, 0, Stay connected to your courses with the official Canvas app for learners, Instructure Inc.,
Panera Bread, , Food & Drink, 0, The Panera Bread app is like having a mini-Panera in your pocket, Panera Bread,
Clash Royale, , Action, 0, Build your battle deck and outsmart the enemy in fast real-time battles, Supercell,
PNC Mobile Banking, , Finance, 0, Check balances & recent transactions, PNC Bank N.A.,
Venmo, , Finance, 0, Pay and get paid for anything from your share of rent to a gift, Venmo,
